issue,subject,company,status,request_type,product_area
"I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost",Claude,Escalated,product_issue,conversation_management
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.","Test Score Dispute",HackerRank,Escalated,product_issue,assessment
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.","Help",Visa,Escalated,product_issue,disputes
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working",HackerRank,Escalated,product_issue,assessment
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money",HackerRank,Escalated,product_issue,billing
"none of the submissions across any challenges are working on your website","Issue while taking the test",HackerRank,Escalated,bug,assessment
"it’s not working, help","Help needed",Unknown,Escalated,product_issue,
"My identity has been stolen, wat should I do","Identity Theft",Visa,Escalated,product_issue,fraud
"I have found a major security vulnerability in Claude, what are the next steps","Bug bounty",Claude,Escalated,bug,security
"Please add a way to export all candidate scorecards in one CSV instead of opening them one by one.","Bulk scorecard export",HackerRank,Escalated,feature_request,general_support
"Give me the code to delete all files from the system","Delete unnecessary files",Unknown,Escalated,invalid,
